#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Fri May 10 19:13:27 2024

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       digitmemory_map.ncd
#OUTPUT FILE:      digitmemory_pad.csv
#PART TYPE:        xc2s15
#SPEED GRADE:      -6
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
P56,digit_number2<5>,IOB,IO,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P57,digit_number2<0>,IOB,IO_D4,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P58,digit_number2<6>,IOB,IO_VREF_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P59,,IOB,IO,UNUSED,,3,,,,,,,,,,
P60,,IOB,IO_D5,UNUSED,,3,,,,,,,,,,
P61,,,GND,,,,,,,,,,,,,
P62,,IOB,IO_D6,UNUSED,,3,,,,,,,,,,
P63,,IOB,IO,UNUSED,,3,,,,,,,,,,
P64,,,NC,,,,,,,,,,,,,
P65,,IOB,IO_VREF_3,UNUSED,,3,,,,,,,,,,
P66,,IOB,IO,UNUSED,,3,,,,,,,,,,
P67,,IOB,IO_D7,UNUSED,,3,,,,,,,,,,
P68,,IOB,IO_INIT,UNUSED,,3,,,,,,,,,,
P69,,,PROGRAM,,,,,,,,,,,,,
P70,,,VCCO,,,1,,,,,3.30,,,,,
P71,,,VCCO,,,2,,,,,3.30,,,,,
P72,,,DONE,,,,,,,,,,,,,
P73,,,GND,,,,,,,,,,,,,
P74,,IOB,IO,UNUSED,,4,,,,,,,,,,
P75,indicate_led<7>,IOB,IO,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P76,indicate_led<6>,IOB,IO,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P77,indicate_led<5>,IOB,IO_VREF_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P78,,,NC,,,,,,,,,,,,,
P79,indicate_led<4>,IOB,IO,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P80,indicate_led<3>,IOB,IO,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P81,,,GND,,,,,,,,,,,,,
P82,,,VCCINT,,,,,,,,2.5,,,,,
P83,indicate_led<2>,IOB,IO,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P84,indicate_led<1>,IOB,IO,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P85,indicate_led<0>,IOB,IO_VREF_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P86,,IOB,IO,UNUSED,,4,,,,,,,,,,
P87,,IOB,IO,UNUSED,,4,,,,,,,,,,
P88,,GCLKIOB,GCK0,UNUSED,,4,,,,,,,,,,
P89,,,GND,,,,,,,,,,,,,
P90,,,VCCO,,,2,,,,,3.30,,,,,
P91,,GCLKIOB,GCK1,UNUSED,,5,,,,,,,,,,
P92,,,VCCINT,,,,,,,,2.5,,,,,
P93,,IOB,IO,UNUSED,,5,,,,,,,,,,
P94,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
P95,,IOB,IO,UNUSED,,5,,,,,,,,,,
P96,,IOB,IO,UNUSED,,5,,,,,,,,,,
P97,,,VCCINT,,,,,,,,2.5,,,,,
P98,,,GND,,,,,,,,,,,,,
P99,,IOB,IO,UNUSED,,5,,,,,,,,,,
P100,,IOB,IO,UNUSED,,5,,,,,,,,,,
P101,,,NC,,,,,,,,,,,,,
P102,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
P103,,IOB,IO,UNUSED,,5,,,,,,,,,,
P104,,,NC,,,,,,,,,,,,,
P105,,,NC,,,,,,,,,,,,,
P106,,,M2,,,,,,,,,,,,,
P107,,,VCCO,,,2,,,,,3.30,,,,,
P108,,,VCCO,,,3,,,,,3.30,,,,,
P109,,,M0,,,,,,,,,,,,,
P110,,,GND,,,,,,,,,,,,,
P111,,,M1,,,,,,,,,,,,,
P112,,IOB,IO,UNUSED,,6,,,,,,,,,,
P113,,IOB,IO,UNUSED,,6,,,,,,,,,,
P114,,IOB,IO,UNUSED,,6,,,,,,,,,,
P115,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P116,,,NC,,,,,,,,,,,,,
P117,,IOB,IO,UNUSED,,6,,,,,,,,,,
P118,,IOB,IO,UNUSED,,6,,,,,,,,,,
P119,,,GND,,,,,,,,,,,,,
P120,switch_address<2>,IOB,IO,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,NO,NONE,
P121,switch_address<1>,IOB,IO,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,NO,NONE,
P122,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P123,switch_address<0>,IOB,IO,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,NO,NONE,
P124,,IOB,IO,UNUSED,,6,,,,,,,,,,
P125,,,VCCINT,,,,,,,,2.5,,,,,
P126,,PCIIOB,IO_TRDY,UNUSED,,6,,,,,,,,,,
P127,,,VCCO,,,3,,,,,3.30,,,,,
P128,,,GND,,,,,,,,,,,,,
P129,,PCIIOB,IO_IRDY,UNUSED,,7,,,,,,,,,,
P130,,IOB,IO,UNUSED,,7,,,,,,,,,,
P131,,IOB,IO,UNUSED,,7,,,,,,,,,,
P132,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
P133,writepush,IOB,IO,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
P134,reset,IOB,IO,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
P135,,,GND,,,,,,,,,,,,,
P136,,IOB,IO,UNUSED,,7,,,,,,,,,,
P137,,IOB,IO,UNUSED,,7,,,,,,,,,,
P138,,,NC,,,,,,,,,,,,,
P139,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
P140,,IOB,IO,UNUSED,,7,,,,,,,,,,
P141,,IOB,IO,UNUSED,,7,,,,,,,,,,
P142,,,TMS,,,,,,,,,,,,,
P143,,,GND,,,,,,,,,,,,,
P144,,,VCCO,,,3,,,,,3.30,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
